382.201,328.412,307.053,300.21,270.779,246.901,233.709,217.656,213.374,208.221,205.289,208.805,230.722,270.735
328.412,293.004,268.238,259.689,236.088,226.777,208.33,197.719,190.19,193.06,191.594,198.853,210.835,258.066
307.053,268.238,248.785,234.795,224.857,207.73,193.088,183.272,186.974,195.087,188.381,196.418,204.753,244.939
300.21,259.689,234.795,230.125,206.81,197.61,181.603,176.812,176.078,178.855,180.079,190.555,202.74,241.35
270.779,236.088,224.857,206.81,189.188,188.682,178.451,176.66,169.979,174.544,180.574,187.449,200.625,235.2
246.901,226.777,207.73,197.61,188.682,172.782,169.814,167.577,172.061,174.169,180.255,183.484,190.229,223.563
233.709,208.33,193.088,181.603,178.451,169.814,164.925,164.357,165.145,167.809,173.271,180.062,191.646,219.408
217.656,197.719,183.272,176.812,176.66,167.577,164.357,162.031,164.606,168.241,175.653,173.456,186.579,209.899
213.374,190.19,186.974,176.078,169.979,172.061,165.145,164.606,168.039,168.31,172.975,171.799,179.218,201.951
208.221,193.06,195.087,178.855,174.544,174.169,167.809,168.241,168.31,165.588,168.368,169.774,173.895,195.982
205.289,191.594,188.381,180.079,180.574,180.255,173.271,175.653,172.975,168.368,170.055,168.392,174.064,194.842
208.805,198.853,196.418,190.555,187.449,183.484,180.062,173.456,171.799,169.774,168.392,173.495,179.231,191.478
230.722,210.835,204.753,202.74,200.625,190.229,191.646,186.579,179.218,173.895,174.064,179.231,179.046,193.093
270.735,258.066,244.939,241.35,235.2,223.563,219.408,209.899,201.951,195.982,194.842,191.478,193.093,198.084
